split,line,query,confidence,scope,category,suggested_intent,reason
train,15,ban co the giup toi khong?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ban co the giup
train,47,Đi Hồ Linh Đàm hôm nay có cần mang theo ô không ta?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,54,Có nên mang áo khoác không?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang áo khoác
train,82,Hôm nay ra Hồ Tây có cần mang theo ô không nhỉ?,0.95,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,137,Cầu Giấy hôm nay có nên mặc đồ nhẹ không nhỉ?,0.93,district,relabel_activity,activity_weather,Activity pattern: nên mặc
train,201,"Ở Nội Bài bữa nay có trời mưa, có nên thủ sẵn ô không?",0.94,ward,relabel_activity,activity_weather,Activity pattern: thủ sẵn ô
train,221,ban co the giup toi khong?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ban co the giup
train,224,"Ngoài trời lạnh quá, có nên mặc áo phao không?",0.9,city,relabel_activity,activity_weather,Activity pattern: nên mặc
train,266,Bữa nay ở Đại Xuyên có cần mang theo ô không nhỉ?,0.96,ward,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,268,Ở Thiên Lộc hôm nay có nên đem ô theo không?,0.95,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,273,hom nay ra ho tay co can mang theo o khong nhi?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo o
train,329,Phường Quảng Oai trời đẹp quá nhỉ?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,336,Trời hôm nay có buồn không nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: có buồn không
train,443,Bữa nay trời ở Đan Phượng có trong xanh không?,0.96,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,465,Hải Phòng hôm nay có mưa không?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Hải Phòng
train,476,"bua nay o lang bac co nang khong, co can chuan bi ao khoac khong?",0.93,district,relabel_activity,activity_weather,Activity pattern: ao khoac khong
train,485,Thời tiết TP.HCM hôm nay thế nào?,0.95,city,remove_oos,REMOVE,Non-Hanoi location: TP.HCM
train,501,co nen mang ao khoac khong?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,542,Thời tiết ở Đà Nẵng hôm nay thế nào?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Đà Nẵng
train,549,Hôm nay trời đẹp nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,555,Phường Chương Mỹ mùa này thế nào nhỉ?,0.91,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,557,Cầu Giấy hôm nay có nên mặc đồ nhẹ không nhỉ?,0.93,district,relabel_activity,activity_weather,Activity pattern: nên mặc
train,597,Ở Nam Từ Liêm hôm nay thì chọn trang phục gì cho thích hợp nhỉ?,0.94,district,relabel_activity,activity_weather,Activity pattern: trang phục
train,614,Hôm nay đến Royal City có cần phải chuẩn bị ô không nhỉ?,0.97,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,638,Trời ở Ứng Hòa hôm nay đẹp không?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,675,"Hôm nay đi Hồ Tây thì có cần ô không, bạn nghĩ sao?",0.92,district,relabel_activity,activity_weather,Activity pattern: cần ô
train,682,co nen mang ao khoac khong?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,765,co nen mang ao khoac khong?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,801,Hải Phòng hôm nay có mưa không?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Hải Phòng
train,806,Trời ở Đan Phượng hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,867,bua nay o lang bac thi nen chon do nhu the nao cho hop ly?,0.94,district,relabel_activity,activity_weather,Activity pattern: chon do
train,927,So sánh thời tiết Hà Nội và Đà Nẵng,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Đà Nẵng
train,934,Hôm nay trời đẹp nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,987,nen mac ao mong hay day hom nay?,0.9,city,relabel_activity,activity_weather,Activity pattern: nen mac
train,1043,di qua cau long bien hom nay co can phong mua khong ta?,0.97,district,relabel_activity,activity_weather,Activity pattern: can phong mua
train,1085,Ở Hoài Đức hôm nay có cần đem theo ô không ta?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1091,Ở Mỹ Đình hôm nay thì chọn trang phục gì cho thích hợp nhỉ?,0.9,district,relabel_activity,activity_weather,Activity pattern: trang phục
train,1115,Hôm nay ở Đại Xuyên có cần mang theo ô không ta?,0.93,ward,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,1126,Thời tiết ở Thiên Lộc hôm nay có cần ô không hả?,0.9,ward,relabel_activity,activity_weather,Activity pattern: cần ô
train,1168,Thời tiết chỗ đó ra sao nhỉ?,0.97,ward,flag_anaphora,smalltalk_weather (ambiguous),Anaphoric reference: chỗ đó
train,1196,Hôm nay ổn k ta?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: hôm nay ổn k
train,1199,Hôm nay ghé Chùa Trấn Quốc thì nên ăn mặc như thế nào cho phù hợp?,0.9,district,relabel_activity,activity_weather,Activity pattern: ăn mặc
train,1215,Ở phường Định Công hôm nay dễ chịu ghê!,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1216,Phường Chương Mỹ mùa này thế nào nhỉ?,0.91,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,1261,Trời ở Mê Linh hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1298,o phuong tay phuong hom nay de chiu ghe!,0.9,ward,relabel_current,current_weather,Weather assessment: de chiu ghe
train,1330,Trời ở Thạch Thất hôm nay đẹp không?,0.96,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1338,Đi ra Thạch Thất hôm nay nên chọn đồ gì cho thoải mái?,0.9,district,relabel_activity,activity_weather,Activity pattern: chọn đồ
train,1355,Áo khoác có cần không?,0.91,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1373,Hải Phòng hôm nay có mưa không?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Hải Phòng
train,1376,Trời ở Ba Vì hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1402,Hôm nay trời dễ chịu quá!,0.9,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1419,"Hôm nay ở Mỹ Đình thời tiết như thế nào, nên ăn mặc ra sao nhỉ?",0.9,district,relabel_activity,activity_weather,Activity pattern: ăn mặc
train,1421,Nơi đó có mát không?,0.92,district,flag_anaphora,smalltalk_weather (ambiguous),Anaphoric reference: Nơi đó
train,1503,Phường Suối Hai mùa này thế nào nhỉ?,0.92,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,1519,Ở phường Tây Phương hôm nay dễ chịu ghê!,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1525,ban la ai?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ban la ai
train,1526,Xin chào!,0.97,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: xin chào
train,1553,Sao Hà Nội hôm nay nắng đẹp thế?,0.96,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1561,Sao Hà Nội hôm nay nắng đẹp thế?,0.96,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1582,Thời tiết ở đó thế nào nhỉ?,0.97,ward,flag_anaphora,smalltalk_weather (ambiguous),Anaphoric reference: ở đó
train,1586,hom nay o lang bac co nen mac do gi cho hop ly khong?,0.96,district,relabel_activity,activity_weather,Activity pattern: nen mac
train,1634,hom nay o minh chau co can chuan bi o khong nhi?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1643,Mấy giờ rồi?,0.93,city,remove_offtopic,REMOVE,Off-topic pattern: mấy giờ rồi
train,1665,Hôm nay ra Hồ Tây có cần mang theo ô không nhỉ?,0.95,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,1673,Trời ở Đan Phượng hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1685,"Xin chào, bạn giúp mình được gì?",0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: xin chào
train,1700,o phuong tay phuong hom nay de chiu ghe!,0.9,ward,relabel_current,current_weather,Weather assessment: de chiu ghe
train,1711,Mấy giờ rồi?,0.93,city,remove_offtopic,REMOVE,Off-topic pattern: mấy giờ rồi
train,1763,Cần mang áo khoác không?,0.9,city,relabel_activity,activity_weather,Activity pattern: mang áo khoác
train,1780,Trời hôm nay có buồn không nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: có buồn không
train,1781,Thời tiết Sài Gòn thế nào?,0.96,city,remove_oos,REMOVE,Non-Hanoi location: Sài Gòn
train,1787,Thời tiết Đà Lạt thế nào?,0.95,city,remove_oos,REMOVE,Non-Hanoi location: Đà Lạt
train,1797,Thời tiết ở Thanh Xuân hôm nay thế nào? Có cần ô không nhỉ?,0.97,ward,relabel_activity,activity_weather,Activity pattern: cần ô
train,1818,"Bữa nay ở Lăng Bác có nắng không, có cần chuẩn bị áo khoác không?",0.93,district,relabel_current,current_weather,Weather assessment: có nắng không
train,1850,Bữa nay trời ở Đan Phượng có trong xanh không?,0.96,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1872,so sanh thoi tiet ha noi va da nang,0.9,city,remove_oos,REMOVE,Non-Hanoi location: da nang
train,1899,"Hôm nay ở Mỹ Đình thời tiết như thế nào, nên ăn mặc ra sao nhỉ?",0.9,district,relabel_activity,activity_weather,Activity pattern: ăn mặc
train,1945,Bạn có thể dự báo thời tiết Đà Nẵng không?,0.94,city,remove_oos,REMOVE,Non-Hanoi location: Đà Nẵng
train,1994,Hôm nay Đan Phượng có nắng không ta?,0.96,district,relabel_current,current_weather,Weather assessment: có nắng không
train,2034,Không biết mai có mưa không nhỉ?,0.9,city,relabel_rain,rain_query,Rain pattern: mai có mưa không
train,2136,toi nay troi co dep de ngam sao khong?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ngam sao
train,2139,o phuong dinh cong hom nay de chiu ghe!,0.9,ward,relabel_current,current_weather,Weather assessment: de chiu ghe
train,2144,Thời tiết ở Nam Từ Liêm hôm nay có trong lành không?,0.94,district,relabel_current,current_weather,Weather assessment: có trong lành không
train,2152,Cảm ơn bạn nhiều!,0.92,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: cảm ơn
train,2156,Hôm nay thời tiết ở Phúc Thọ có dễ chịu không nhỉ?,0.96,district,relabel_current,current_weather,Weather assessment: dễ chịu không
train,2180,Hôm nay ra Bờ Hồ có nên mang theo ô không nhỉ?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,2193,"Bữa nay ở Ngọc Hà, Ba Đình có nên mặc áo khoác không nhỉ?",0.9,ward,relabel_activity,activity_weather,Activity pattern: nên mặc
train,2228,Cảm ơn bạn đã tư vấn!,0.96,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: cảm ơn
train,2338,Bữa nay ở Lăng Bác thì nên chọn đồ như thế nào cho hợp lý?,0.94,district,relabel_activity,activity_weather,Activity pattern: chọn đồ
train,2344,"hom nay di ho tay thi co can o khong, ban nghi sao?",0.92,district,relabel_activity,activity_weather,Activity pattern: can o
train,2372,Trời ở Phúc Thọ hôm nay đẹp không?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2389,thoi tiet o phuc tho hom nay co de chiu khong?,0.9,district,relabel_current,current_weather,Weather assessment: de chiu khong
train,2416,troi o phuc tho hom nay dep khong?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2424,"Hôm nay đi Hồ Tây thì có cần ô không, bạn nghĩ sao?",0.92,district,relabel_activity,activity_weather,Activity pattern: cần ô
train,2442,tam biet nhe!,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: tam biet
train,2499,hom nay thoi tiet o thanh xuan co can o khong ta?,0.92,ward,relabel_activity,activity_weather,Activity pattern: can o
train,2605,hom nay on k ta?,0.9,city,relabel_current,current_weather,Weather assessment: hom nay on
train,2629,Trời đẹp k bạn?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: trời đẹp k
train,2642,phuong chuong my mua nay the nao nhi?,0.97,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,2659,Phường Tùng Thiện mùa này thế nào nhỉ?,0.9,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,2681,bua nay o dai xuyen co can mang theo o khong nhi?,0.9,ward,relabel_activity,activity_weather,Activity pattern: mang theo o
train,2682,Tạm biệt nhé!,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: tạm biệt
train,2713,hom nay o lang bac co nen mac do gi cho hop ly khong?,0.96,district,relabel_activity,activity_weather,Activity pattern: nen mac
train,2720,Ở Ứng Hòa bữa nay có nắng không?,0.95,district,relabel_current,current_weather,Weather assessment: có nắng không
train,2741,can mang ao khoac khong?,0.9,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,2761,thoi tiet o thanh xuan hom nay the nao? co can o khong nhi?,0.95,ward,relabel_activity,activity_weather,Activity pattern: can o
train,2778,Hôm nay ở Minh Châu có cần chuẩn bị ô không nhỉ?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2814,phuong quang oai troi dep qua nhi?,0.96,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2860,Phường Quang Minh trời đẹp quá nhỉ?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2864,ban co the giup toi khong?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ban co the giup
train,2943,Phường Thanh Oai trời đẹp quá nhỉ?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2974,Trời ở Mê Linh hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,2979,Trời ở Mê Linh hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,3002,"Hôm nay đi Hồ Tây thì có cần ô không, bạn nghĩ sao?",0.92,district,relabel_activity,activity_weather,Activity pattern: cần ô
train,3036,hom nay o minh chau co can chuan bi o khong nhi?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,3068,Bữa nay ở Kiến Hưng có nên mang theo ô không nhỉ?,0.9,ward,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,3078,Cảm ơn bạn nhé!,0.93,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: cảm ơn
train,3089,"Hôm nay ở Nam Từ Liêm thời tiết như thế nào, nên ăn mặc ra sao nhỉ?",0.9,district,relabel_activity,activity_weather,Activity pattern: ăn mặc
train,3171,Mùa này Hà Nội thời tiết hay nhỉ?,0.96,city,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,3183,troi o phuc tho hom nay dep khong?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,3189,"Bữa nay ở Lăng Bác có nắng không, có cần chuẩn bị áo khoác không?",0.93,district,relabel_current,current_weather,Weather assessment: có nắng không
train,3203,Thời tiết ở Phúc Thọ hôm nay có dễ chịu không?,0.9,district,relabel_current,current_weather,Weather assessment: dễ chịu không
train,3209,Bữa nay ghé Văn Miếu thì nên chọn đồ gì cho hợp lý?,0.93,district,relabel_activity,activity_weather,Activity pattern: chọn đồ
train,3211,Trời đẹp k bạn?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: trời đẹp k
train,3272,Đi qua Cầu Long Biên hôm nay có cần phòng mưa không ta?,0.97,district,relabel_activity,activity_weather,Activity pattern: cần phòng mưa
train,3301,Có vẻ trời sẽ mát mẻ nhỉ?,0.93,district,keep_smalltalk,smalltalk_weather,Genuine smalltalk: mát mẻ nhỉ
train,3312,Mình nghe nói hôm nay trời Đan Phượng có đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,3341,Ở Nam Từ Liêm hôm nay thì chọn trang phục gì cho thích hợp nhỉ?,0.94,district,relabel_activity,activity_weather,Activity pattern: trang phục
train,3444,Hôm nay thời tiết ở Mê Linh ra sao nhỉ?,0.97,district,relabel_current,current_weather,Weather assessment: ra sao nhỉ
train,3474,Thời tiết ở Nam Từ Liêm hôm nay có trong lành không?,0.94,district,relabel_current,current_weather,Weather assessment: có trong lành không
train,3502,di qua cau long bien hom nay co can phong mua khong ta?,0.97,district,relabel_activity,activity_weather,Activity pattern: can phong mua
train,3525,can mang ao khoac khong?,0.9,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,3542,Hôm nay là thứ mấy?,0.95,city,remove_offtopic,REMOVE,Off-topic pattern: thứ mấy
train,3564,Hôm nay ra Bờ Hồ có nên mang theo ô không nhỉ?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,3585,"Bữa nay ở Ngọc Hà, Ba Đình có nên mặc áo khoác không nhỉ?",0.9,ward,relabel_activity,activity_weather,Activity pattern: nên mặc
train,3586,Thời tiết ở Đà Nẵng thế nào?,0.94,city,remove_oos,REMOVE,Non-Hanoi location: Đà Nẵng
train,3600,Tối nay trời có sao không nhỉ?,0.94,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: có sao không
train,3629,"Đi qua Cầu Long Biên hôm nay có khả năng mưa, có cần mang theo ô không ta?",0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,3636,Hôm nay thời tiết ở Phúc Thọ có dễ chịu không nhỉ?,0.96,district,relabel_current,current_weather,Weather assessment: dễ chịu không
train,3649,Bạn là ai?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: bạn là ai
train,3693,Thời tiết thành phố hôm nay tuyệt vời!,0.93,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: tuyệt vời
train,3714,Tối nay trời có đẹp để ngắm sao không?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ngắm sao
train,3721,hom nay o dai xuyen co can mang theo o khong ta?,0.96,ward,relabel_activity,activity_weather,Activity pattern: mang theo o
train,3728,Nên mặc áo mỏng hay dày hôm nay?,0.95,city,relabel_activity,activity_weather,Activity pattern: nên mặc
train,3737,Bữa nay ở Phúc Thọ trời như thế nào nhỉ?,0.96,district,relabel_current,current_weather,Weather assessment: thế nào nhỉ
train,3774,Mấy giờ rồi?,0.93,city,remove_offtopic,REMOVE,Off-topic pattern: mấy giờ rồi
train,3792,Đi qua Cầu Long Biên hôm nay có cần phòng mưa không ta?,0.97,district,relabel_activity,activity_weather,Activity pattern: cần phòng mưa
train,3793,Chỗ đó có mát không?,0.92,district,flag_anaphora,smalltalk_weather (ambiguous),Anaphoric reference: chỗ đó
train,3827,Hôm nay thời tiết ở Mê Linh ra sao nhỉ?,0.97,district,relabel_current,current_weather,Weather assessment: ra sao nhỉ
train,3923,Phường Chương Mỹ mùa này thế nào nhỉ?,0.91,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,3986,Hôm nay ổn k ta?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: hôm nay ổn k
train,3987,Cảm ơn bạn nhé!,0.93,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: cảm ơn
val,13,Ở phường Phú Lương hôm nay dễ chịu ghê!,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,28,Hôm nay thời tiết ở Mê Linh thế nào nhỉ?,0.9,district,relabel_current,current_weather,Weather assessment: thế nào nhỉ
val,41,Có nên mang áo khoác không?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang áo khoác
val,80,Hà Nội thời tiết đẹp nhỉ bạn?,0.94,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,101,Trời ở Nam Từ Liêm hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,126,phuong chuong my mua nay the nao nhi?,0.97,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
val,152,can mang ao khoac khong?,0.9,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
val,191,Tối nay trời có sao không nhỉ?,0.94,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: có sao không
val,210,Ở đó có mát không?,0.95,district,flag_anaphora,smalltalk_weather (ambiguous),Anaphoric reference: ở đó
val,250,Trời ở Mê Linh hôm nay có mát mẻ không nhỉ?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,311,Phường Chương Mỹ mùa này thế nào nhỉ?,0.91,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
val,314,phuong chuong my mua nay the nao nhi?,0.97,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
val,323,troi hom nay co buon khong nhi?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: co buon khong
val,341,hom nay ra ho tay co can mang theo o khong nhi?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo o
val,357,Trời ở Mê Linh hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,361,phuong quang oai troi dep qua nhi?,0.96,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,410,Bạn có thể giúp tôi không?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: bạn có thể giúp
val,431,Trời ở Mê Linh hôm nay có mát mẻ không nhỉ?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,438,Hôm nay ổn k ta?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: hôm nay ổn k
val,479,Xin chào bạn!,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: xin chào
val,538,Hôm nay ở Lăng Bác có nên mặc đồ gì cho hợp lý không?,0.96,district,relabel_activity,activity_weather,Activity pattern: nên mặc
val,585,Thời tiết ở Hoài Đức hôm nay có cần mang theo dù không?,0.92,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,621,hom nay ra bo ho co nen mang theo o khong nhi?,0.94,district,relabel_activity,activity_weather,Activity pattern: mang theo o
val,636,Thời tiết ở Hoài Đức hôm nay có cần mang theo dù không?,0.92,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
val,649,Hôm nay thời tiết ở Thanh Xuân có cần ô không ta?,0.9,ward,relabel_activity,activity_weather,Activity pattern: cần ô
